timestamp,chunk_size,chunk_overlap,top_k,temperature,relevance_threshold,fallback_threshold,off_topic_threshold,llm_confidence_threshold,sigmoid_midpoint,sigmoid_steepness,avg_response_time_sec,total_tokens,estimated_cost_usd,mode_rag_count,mode_fallback_count,mode_llm_domain_check_count,mode_off_topic_count,mode_no_answer_count,mode_error_count,avg_improvement_pct,improvement_std,improvement_min,improvement_max,avg_relevance_score,avg_rag_score,avg_llm_score,avg_rag_specificity,avg_rag_relevance,avg_rag_factuality,avg_llm_specificity,avg_llm_relevance,avg_llm_factuality,notes
2025-11-02 18:35:23,800,100,4,0.2,0.65,0.5,0.15,5,0.5,10,5.18,1452,$0.0008,5,0,0,0,0,0,412.3%,320.92%,-7.4%,800.0%,0.757,9.00,3.60,8.40,9.80,8.80,2.80,4.60,3.40,Test run with 5 questions
2025-11-02 18:42:38,600,100,4,0.2,0.65,0.5,0.15,5,0.5,10,4.85,1248,$0.0007,4,1,0,0,0,0,244.0%,233.83%,-18.5%,550.0%,0.711,8.27,4.13,8.00,9.40,7.40,2.60,6.40,3.40,Test run with 5 questions
2025-11-02 18:46:50,400,100,4,0.2,0.65,0.5,0.15,5,0.5,10,6.11,825,$0.0005,3,2,0,0,0,0,199.5%,306.02%,-25.9%,800.0%,0.648,6.47,3.73,6.00,7.60,5.80,2.80,4.60,3.80,Test run with 5 questions
2025-11-02 18:50:36,1000,100,4,0.2,0.65,0.5,0.15,5,0.5,10,5.73,1497,$0.0009,4,1,0,0,0,0,441.8%,337.18%,-4.5%,800.0%,0.737,8.53,3.13,8.40,9.40,7.80,2.60,3.80,3.00,Test run with 5 questions
2025-11-02 18:55:12,1200,100,4,0.2,0.65,0.5,0.15,5,0.5,10,6.16,1447,$0.0008,4,1,0,0,0,0,416.9%,323.29%,-4.0%,833.3%,0.752,8.93,3.40,8.60,9.80,8.40,2.80,4.20,3.20,Test run with 5 questions
2025-11-02 18:59:11,800,50,4,0.2,0.65,0.5,0.15,5,0.5,10,5.26,1376,$0.0008,5,0,0,0,0,0,220.0%,310.68%,-25.0%,833.3%,0.733,8.53,4.60,8.20,9.60,7.80,3.20,6.40,4.20,Test run with 5 questions
2025-11-02 19:01:17,800,150,4,0.2,0.65,0.5,0.15,5,0.5,10,6.40,1374,$0.0008,5,0,0,0,0,0,397.9%,356.81%,-4.0%,833.3%,0.749,8.73,3.53,8.60,9.60,8.00,3.00,4.20,3.40,Test run with 5 questions
2025-11-02 19:03:49,800,200,4,0.2,0.65,0.5,0.15,5,0.5,10,5.11,1328,$0.0008,5,0,0,0,0,0,325.4%,330.76%,-11.1%,833.3%,0.760,8.93,4.07,8.80,9.80,8.20,2.80,6.00,3.40,Test run with 5 questions
2025-11-02 19:10:59,800,100,2,0.2,0.65,0.5,0.15,5,0.5,10,4.30,1257,$0.0007,5,0,0,0,0,0,383.5%,321.94%,-16.0%,833.3%,0.782,8.20,3.47,8.00,9.40,7.20,2.80,4.40,3.20,Test run with 5 questions
2025-11-02 19:13:43,800,100,6,0.2,0.65,0.5,0.15,5,0.5,10,5.96,1416,$0.0008,4,1,0,0,0,0,396.9%,299.10%,-4.0%,733.3%,0.733,8.73,3.40,8.40,9.60,8.20,2.60,4.40,3.20,Test run with 5 questions
2025-11-02 19:16:09,800,100,8,0.2,0.65,0.5,0.15,5,0.5,10,7.12,1435,$0.0008,4,1,0,0,0,0,273.8%,260.00%,-11.1%,600.0%,0.715,8.87,4.13,8.80,9.80,8.00,2.60,6.40,3.40,Test run with 5 questions
2025-11-02 19:19:04,800,100,4,0.0,0.65,0.5,0.15,5,0.5,10,8.08,1441,$0.0008,5,0,0,0,0,0,400.7%,325.75%,-11.1%,833.3%,0.757,8.67,3.60,8.40,9.40,8.20,2.80,4.60,3.40,Test run with 5 questions
2025-11-02 19:21:11,800,100,4,0.1,0.65,0.5,0.15,5,0.5,10,5.05,1486,$0.0009,5,0,0,0,0,0,410.7%,330.15%,-11.1%,833.3%,0.757,8.80,3.60,8.40,9.60,8.40,2.80,4.60,3.40,Test run with 5 questions
2025-11-02 19:23:01,800,100,4,0.4,0.65,0.5,0.15,5,0.5,10,6.55,1491,$0.0009,5,0,0,0,0,0,369.3%,367.86%,-4.0%,833.3%,0.757,8.73,3.73,8.40,9.60,8.20,2.60,6.20,2.40,Test run with 5 questions
2025-11-02 19:25:04,800,100,4,0.7,0.65,0.5,0.15,5,0.5,10,5.33,1409,$0.0008,5,0,0,0,0,0,260.0%,299.74%,-7.7%,800.0%,0.757,8.93,4.60,8.60,9.80,8.40,3.80,6.00,4.00,Test run with 5 questions
2025-11-02 20:15:17,800,100,4,0.2,0.65,0.5,0.15,5,0.5,10,5.96,1418,$0.0008,5,0,0,0,0,0,317.5%,254.34%,-4.0%,600.0%,0.757,8.73,3.67,8.40,9.60,8.20,3.00,4.80,3.20,Test run with 5 questions
