timestamp,chunk_size,chunk_overlap,top_k,sigmoid_midpoint,sigmoid_steepness,avg_response_time_sec,total_tokens,estimated_cost_usd,mode_rag_count,mode_fallback_count,mode_llm_domain_check_count,mode_off_topic_count,mode_no_answer_count,mode_error_count,avg_improvement_pct,improvement_std,improvement_min,improvement_max,avg_relevance_score,avg_rag_score,avg_llm_score,avg_rag_specificity,avg_rag_relevance,avg_rag_factuality,avg_llm_specificity,avg_llm_relevance,avg_llm_factuality,notes
11/3/25 0:32,800,100,4,0.5,12,5.84,1284,$0.00 ,2,0,2,1,1,0,269.20%,376.30%,-42.90%,800.00%,0.428,8.06,5.33,7.17,9.83,7.17,4.17,6.67,5.17,Test run with 6 questions
11/3/25 0:37,800,100,4,0.5,18,4.8,1252,$0.00 ,2,0,2,1,1,0,251.50%,378.42%,-77.80%,833.30%,0.402,7.44,5.39,7,8.33,7,4.33,6.5,5.33,Test run with 6 questions
11/3/25 0:51,800,100,4,0.52,15,4.06,1216,$0.00 ,2,0,2,1,1,0,247.60%,380.94%,-77.80%,833.30%,0.371,7.11,5.39,6.5,8,6.83,4.33,6.33,5.5,Test run with 6 questions
11/3/25 0:46,800,100,4,0.52,10,5.29,1179,$0.00 ,1,1,2,1,1,0,223.70%,343.27%,-83.30%,800.00%,0.4,7.39,5.28,6.83,8.17,7.17,4.17,6.5,5.17,Test run with 6 questions
11/3/25 0:10,800,100,4,0.48,12,6.13,1285,$0.00 ,2,0,2,1,1,0,218.80%,319.32%,-33.30%,733.30%,0.47,7.78,5.44,6.67,9.67,7,4.5,6.5,5.33,Test run with 6 questions
11/3/25 0:39,800,100,4,0.5,20,5.25,1207,$0.00 ,2,0,2,1,1,0,217.60%,320.24%,-40.00%,733.30%,0.395,7.67,5.44,6.67,9.5,6.83,4.33,6.83,5.17,Test run with 6 questions
11/3/25 0:15,800,100,4,0.48,18,4.53,1163,$0.00 ,2,0,2,1,1,0,213.10%,329.34%,-80.00%,800.00%,0.45,7.5,5.56,7.17,8.33,7,4.33,6.83,5.5,Test run with 6 questions
11/3/25 0:01,800,100,4,0.45,20,4.78,1246,$0.00 ,2,0,2,1,1,0,205.80%,347.47%,-83.30%,833.30%,0.525,6.83,5.56,6.17,8.33,6,4.5,6.67,5.5,Test run with 6 questions
11/3/25 1:01,800,100,4,0.55,10,5.95,1284,$0.00 ,1,1,2,1,1,0,202.50%,343.52%,-89.30%,833.30%,0.346,6.33,5.56,5.33,8,5.67,4.17,6.83,5.67,Test run with 6 questions
11/3/25 0:17,800,100,4,0.48,20,3.5,1128,$0.00 ,2,0,2,1,1,0,199.40%,352.33%,-85.70%,833.30%,0.443,6.39,5.56,6.17,7,6,4.33,6.83,5.5,Test run with 6 questions
11/3/25 0:48,800,100,4,0.52,12,6.22,1130,$0.00 ,1,1,2,1,1,0,199.10%,352.65%,-85.00%,833.30%,0.387,6.33,5.44,6.17,6.83,6,4.17,6.83,5.33,Test run with 6 questions
11/3/25 0:59,800,100,4,0.55,8,4.42,1288,$0.00 ,1,1,2,1,1,0,192.20%,343.56%,-85.00%,800.00%,0.368,6.22,5.56,6,6.83,5.83,4.83,6.5,5.33,Test run with 6 questions
11/3/25 1:03,800,100,4,0.55,12,6.48,1162,$0.00 ,1,1,2,1,1,0,167.00%,281.80%,-77.80%,600.00%,0.329,6.89,5.72,6.17,8.5,6,4.83,6.83,5.5,Test run with 6 questions
11/2/25 23:58,800,100,4,0.45,18,3.92,1207,$0.00 ,2,0,2,1,1,0,160.90%,292.23%,-75.00%,733.30%,0.528,6.83,5.61,6.17,8.5,5.83,4.5,7,5.33,Test run with 6 questions
11/3/25 0:29,800,100,4,0.5,10,5.47,1255,$0.00 ,2,0,2,1,1,0,155.20%,232.04%,-40.00%,575.00%,0.438,8,5.67,7,9.83,7.17,4.5,7.17,5.33,Test run with 6 questions
11/3/25 0:34,800,100,4,0.5,15,4.8,1136,$0.00 ,2,0,2,1,1,0,141.90%,241.85%,-81.00%,575.00%,0.414,7.39,5.94,6.83,8.33,7,4.67,7.33,5.83,Test run with 6 questions
11/3/25 0:13,800,100,4,0.48,15,4.41,1338,$0.00 ,2,0,2,1,1,0,127.10%,308.73%,-82.40%,800.00%,0.46,6.44,5.94,6.17,7.17,6,4.67,7.83,5.33,Test run with 6 questions
11/2/25 23:54,800,100,4,0.45,15,4.08,1088,$0.00 ,2,0,2,1,1,0,102.90%,196.55%,-42.90%,525.00%,0.533,7.72,6.17,6.67,9.5,7,4.5,8.33,5.67,Test run with 6 questions
