timestamp,chunk_size,chunk_overlap,top_k,temperature,relevance_threshold,fallback_threshold,off_topic_threshold,llm_confidence_threshold,sigmoid_midpoint,sigmoid_steepness,avg_response_time_sec,total_tokens,estimated_cost_usd,mode_rag_count,mode_fallback_count,mode_llm_domain_check_count,mode_off_topic_count,mode_no_answer_count,mode_error_count,avg_improvement_pct,improvement_std,improvement_min,improvement_max,avg_relevance_score,avg_rag_score,avg_llm_score,avg_rag_specificity,avg_rag_relevance,avg_rag_factuality,avg_llm_specificity,avg_llm_relevance,avg_llm_factuality,notes
11/2/25 22:21,800,100,4,0.2,0.65,0.5,0.15,5,0.4,5,7.88,1287,$0.00 ,2,3,0,0,1,0,213.10%,315.68%,-40.00%,733.30%,0.582,7.61,5.5,6.67,9.5,6.67,4.67,6.5,5.33,Test run with 6 questions
11/2/25 22:23,800,100,4,0.2,0.65,0.5,0.15,5,0.4,8,6.19,1140,$0.00 ,2,3,0,0,1,0,69.20%,121.70%,-40.00%,316.70%,0.616,7.67,6.06,6.83,9.5,6.67,4.33,8.5,5.33,Test run with 6 questions
11/2/25 22:26,800,100,4,0.2,0.65,0.5,0.15,5,0.4,10,6.47,1160,$0.00 ,2,3,0,0,1,0,182.70%,260.71%,-33.30%,575.00%,0.632,7.67,5.28,6.67,9.5,6.83,4.17,6.67,5,Test run with 6 questions
11/2/25 22:50,800,100,4,0.2,0.65,0.5,0.15,5,0.4,12,6.81,1191,$0.00 ,2,3,0,0,1,0,96.30%,148.59%,-47.80%,350.00%,0.645,7.94,6.06,6.83,9.83,7.17,5,7.67,5.5,Test run with 6 questions
11/2/25 22:53,800,100,4,0.2,0.65,0.5,0.15,5,0.4,15,5.85,1153,$0.00 ,2,3,0,0,1,0,206.20%,347.06%,-77.80%,833.30%,0.658,6.83,5.56,6,8.5,6,4.33,6.83,5.5,Test run with 6 questions
11/2/25 22:56,800,100,4,0.2,0.65,0.5,0.15,5,0.4,18,6.22,1119,$0.00 ,3,2,0,0,1,0,89.20%,228.10%,-85.00%,575.00%,0.667,6.44,6.17,6.17,7.17,6,4.5,8.5,5.5,Test run with 6 questions
11/2/25 22:58,800,100,4,0.2,0.65,0.5,0.15,5,0.4,20,9.26,1104,$0.00 ,3,2,0,0,1,0,127.30%,263.33%,-85.70%,700.00%,0.673,7.22,5.94,6.67,8.17,6.83,4.17,8.17,5.5,Test run with 6 questions
11/2/25 23:01,800,100,4,0.2,0.65,0.5,0.15,5,0.42,5,10.72,1159,$0.00 ,2,3,0,0,1,0,229.50%,381.95%,-83.30%,800.00%,0.559,6.33,5.44,6.17,7,5.83,4.17,6.67,5.5,Test run with 6 questions
11/2/25 23:04,800,100,4,0.2,0.65,0.5,0.15,5,0.42,8,7.12,1080,$0.00 ,2,3,0,0,1,0,193.00%,279.71%,-42.90%,600.00%,0.583,7.89,5.5,6.83,9.67,7.17,4.17,7,5.33,Test run with 6 questions
11/2/25 23:07,800,100,4,0.2,0.65,0.5,0.15,5,0.42,10,6.57,1187,$0.00 ,2,3,0,0,1,0,245.00%,405.72%,-83.30%,833.30%,0.594,6.5,5.5,6.17,7.17,6.17,4.5,6.5,5.5,Test run with 6 questions
11/2/25 23:33,800,100,4,0.2,0.65,0.5,0.15,5,0.42,12,10.01,1210,$0.00 ,2,3,0,0,1,0,143.80%,299.39%,-77.80%,800.00%,0.601,7.33,5.78,6.5,8.33,7.17,4.17,7.83,5.33,Test run with 6 questions
11/2/25 23:37,800,100,4,0.2,0.65,0.5,0.15,5,0.42,15,7.22,1186,$0.00 ,2,3,0,0,1,0,251.50%,389.74%,-89.30%,800.00%,0.608,6.67,5.44,5.83,8.33,5.83,4.17,6.67,5.5,Test run with 6 questions
11/2/25 23:40,800,100,4,0.2,0.65,0.5,0.15,5,0.42,18,6.32,1076,$0.00 ,2,3,0,1,0,0,185.50%,325.60%,-84.20%,800.00%,0.612,6.89,5.72,6.17,8.5,6,4.67,6.83,5.67,Test run with 6 questions
11/2/25 23:42,800,100,4,0.2,0.65,0.5,0.15,5,0.42,20,6.39,1112,$0.00 ,2,3,0,1,0,0,123.20%,229.64%,-84.20%,525.00%,0.614,6.72,5.94,6,8.33,5.83,4.83,7.33,5.67,Test run with 6 questions
11/2/25 23:44,800,100,4,0.2,0.65,0.5,0.15,5,0.45,5,4.47,1180,$0.00 ,1,1,2,0,2,0,81.70%,211.24%,-89.30%,525.00%,0.525,5.94,6.17,5.33,6.83,5.67,4.67,8.33,5.5,Test run with 6 questions
11/2/25 23:46,800,100,4,0.2,0.65,0.5,0.15,5,0.45,8,5.17,1081,$0.00 ,2,0,2,0,2,0,216.80%,340.50%,-83.30%,800.00%,0.533,7.44,5.56,7,8.33,7,4.5,6.83,5.33,Test run with 6 questions
