timestamp,chunk_size,chunk_overlap,top_k,temperature,relevance_threshold,fallback_threshold,off_topic_threshold,llm_confidence_threshold,sigmoid_midpoint,sigmoid_steepness,avg_response_time_sec,total_tokens,estimated_cost_usd,mode_rag_count,mode_fallback_count,mode_llm_domain_check_count,mode_off_topic_count,mode_no_answer_count,mode_error_count,avg_improvement_pct,improvement_std,improvement_min,improvement_max,avg_relevance_score,avg_rag_score,avg_llm_score,avg_rag_specificity,avg_rag_relevance,avg_rag_factuality,avg_llm_specificity,avg_llm_relevance,avg_llm_factuality,notes
2025-11-05 02:27:45,800,100,4,0.2,0.62,0.4,0.15,5,0.5,12,4.74,1169,$0.0007,2,0,2,1,1,0,259.8%,371.63%,-33.3%,833.3%,0.428,7.78,5.22,6.83,9.50,7.00,4.17,6.33,5.17,Test run with 6 questions
2025-11-05 02:30:46,800,100,4,0.2,0.62,0.42,0.15,5,0.5,12,5.02,1198,$0.0007,2,0,2,1,1,0,208.0%,320.18%,-77.8%,733.3%,0.428,7.28,5.39,6.83,8.17,6.83,4.33,6.50,5.33,Test run with 6 questions
2025-11-05 02:33:11,800,100,4,0.2,0.62,0.45,0.15,5,0.5,12,5.36,1223,$0.0007,2,0,2,1,1,0,260.0%,395.00%,-85.0%,833.3%,0.428,7.33,5.44,6.83,8.17,7.00,4.33,6.67,5.33,Test run with 6 questions
2025-11-05 02:35:53,800,100,4,0.2,0.62,0.48,0.15,5,0.5,12,4.61,1158,$0.0006,2,0,2,1,1,0,99.4%,222.14%,-75.0%,575.0%,0.428,7.00,5.89,6.17,8.67,6.17,4.50,8.00,5.17,Test run with 6 questions
2025-11-05 02:38:23,800,100,4,0.2,0.62,0.5,0.15,5,0.5,12,5.67,1221,$0.0007,2,0,2,1,1,0,196.9%,347.56%,-85.0%,833.3%,0.428,6.33,5.33,6.00,7.00,6.00,4.50,6.50,5.00,Test run with 6 questions
2025-11-05 02:41:03,800,100,4,0.2,0.62,0.52,0.15,5,0.5,12,5.19,1251,$0.0007,2,0,2,1,1,0,120.1%,285.21%,-85.0%,733.3%,0.428,6.28,5.83,6.00,7.00,5.83,4.83,7.50,5.17,Test run with 6 questions
2025-11-05 02:43:41,800,100,4,0.2,0.62,0.55,0.15,5,0.5,12,5.50,1275,$0.0007,2,0,2,1,1,0,238.8%,398.26%,-85.7%,800.0%,0.428,6.39,5.44,6.17,7.00,6.00,4.33,6.67,5.33,Test run with 6 questions
2025-11-05 02:46:14,800,100,4,0.2,0.62,0.6,0.15,5,0.5,12,4.42,1162,$0.0007,2,0,2,1,1,0,125.9%,279.56%,-85.7%,733.3%,0.428,6.83,5.94,6.17,8.33,6.00,4.50,8.00,5.33,Test run with 6 questions
2025-11-05 02:53:39,800,100,4,0.2,0.62,0.38,0.15,5,0.5,12,4.51,1246,$0.0007,2,0,2,1,1,0,151.3%,286.17%,-89.3%,733.3%,0.428,6.33,5.61,5.50,8.00,5.50,4.50,6.67,5.67,Test run with 6 questions
2025-11-05 02:55:32,800,100,4,0.2,0.62,0.35,0.15,5,0.5,12,4.01,1234,$0.0007,2,0,2,1,1,0,183.1%,262.20%,-42.9%,600.0%,0.428,7.94,5.61,7.00,9.67,7.17,4.33,7.00,5.50,Test run with 6 questions
2025-11-05 02:57:48,800,100,4,0.2,0.62,0.33,0.15,5,0.5,12,3.99,1155,$0.0006,2,0,2,1,1,0,192.8%,331.69%,-89.3%,733.3%,0.428,5.89,5.50,5.50,6.67,5.50,4.50,6.67,5.33,Test run with 6 questions
2025-11-05 02:59:48,800,100,4,0.2,0.62,0.3,0.15,5,0.5,12,6.66,1292,$0.0007,2,1,1,1,1,0,117.7%,283.78%,-82.4%,733.3%,0.428,6.33,5.72,6.17,7.00,5.83,4.17,7.83,5.17,Test run with 6 questions
